2077,2088,2090,2777,2787,2790,2794,2813,2815,2825
2016,2053,2062,2071,2126,2142,2172,2281,2283,2320
8615,8617,8626,8635,8641,8644,8660,8720,8750,8767
2292,2413,3201,3329,3340,3792,3929,3984,3990,3993
1811,2315,2330,2361,2365,2373,2382,2438,2455,2458
210,219,229,238,1392,1396,1414,1420,1551,2355
8700,8719,8723,8737,8755,8775,8799,8819,8840,9068
2213,2217,2219,2342,2405,2416,2501,2510,2536,2551
4723,4738,4743,4799,4803,4816,5594,5613,5616,5628
12670,12680,12685,12691,12713,12717,13262,13277,13418,13473
654,666,952,988,1017,1091,1333,1338,1352,1360
3631,3688,3701,3703,3708,3808,3813,3974,3988,3993
5032,6356,6426,6739,6746,6787,6845,6858,6879,6883
